ABCG5	2	43893114	43919508
ABCG8	2	43919606	43959109
ABHD1	2	27200226	27203309
ABHD10	3	113180517	113194900
ABHD11	7	72790059	72791120
ABHD12	20	25228849	25319477
ABHD13	13	107679567	107680581
ABHD14A	3	51984123	51990252
ABHD14B	3	51977570	51992465
ABHD2	15	87432428	87546591
ABHD3	18	17535234	17538724
ABHD4	14	22136986	22151105
ABHD5	3	43707378	43735296
ABHD6	3	58198298	58255501
ABHD8	19	17263939	17275282
ABI2	2	203964013	204005137
ABI3	17	44642587	44655586
ABI3BP	3	102063965	102195004
ABL1	9	132700651	132752883
ABL2	1	177352609	177378834
ABLIM1	10	116351030	116518009
ABLIM2	4	8072828	8211459
ABLIM3	5	148501764	148620192
ABO	9	135120383	135140451
ABR	17	941654	975840
ABRA	8	107840886	107851648
ABT1	6	26705158	26708256
ABTB1	3	128878499	128882453
ABTB2	11	34129110	34335378
ACAA1	3	38139210	38153619
ACAA2	18	45563871	45594281
ACACA	17	32761225	32796804
ACACB	12	108150958	108190413
ACAD10	12	110637692	110679286
ACAD11	3	133901451	133923966
ACAD8	11	133633605	133636283
ACAD9	3	130105890	130114647
ACADL	2	210760960	210798460
ACADM	1	75984078	75999643
ACADS	12	119659156	119662194
ACADSB	10	124758418	124807796
ACADVL	17	7063980	7069309
ACAN	15	87200759	87219589
ACAP1	17	7180596	7195517
ACAP2	3	196537935	196645106
ACAP3	1	1223986	1234852
ACAT1	11	107497467	107523485
ACAT2	6	160102978	160120077
ACBD3	1	224399002	224441046
ACBD4	17	40568586	40577324
ACBD5	10	27533374	27569517
ACBD6	1	178523987	178738102
ACBD7	10	15157479	15170781
ACCS	11	44044387	44062145
ACCSL	11	44026106	44038103
ACD	16	66248915	66252219
ACE	17	58915908	58952935
ACE2	X	15489076	15530199
ACER1	19	6257724	6284562
ACER2	9	19398924	19442500
ACER3	11	76249564	76412498
ACHE	7	100328721	100332475
ACIN1	14	22597613	22634663
ACLY	17	37276704	37328798
ACMSD	2	135312655	135376072
ACO1	9	32374600	32440832
ACO2	22	40195074	40254939
ACOT1	14	73073680	73080251
ACOT11	1	54786488	54873005
ACOT12	5	80691429	80725744
ACOT2	14	73105524	73112112
ACOT4	14	73128162	73132223
ACOT6	14	73153300	73156345
ACOT7	1	6246918	6376413
ACOT8	20	43904068	43919442
ACOT9	X	23641164	23671328
ACOX1	17	71449186	71487039
ACOX2	3	58465902	58497956
ACOX3	4	8427094	8468626
ACOXL	2	111273061	111568392
ACP1	2	254871	268282
ACP2	11	47220849	47226939
ACP5	19	11548414	11550801
ACP6	1	145588569	145609258
ACPP	3	133518901	133569831
ACR	22	49523517	49530593
ACRBP	12	6617502	6626841
ACRV1	11	125047438	125056152
ACSBG1	15	76250241	76313954
ACSBG2	19	6086709	6144112
ACSF2	17	45900688	45907199
ACSF3	16	87696502	87749670
ACSL1	4	185926463	185961694
ACSL3	2	223515903	223517600
ACSL4	X	108793095	108863277
ACSL5	10	114144665	114178128
ACSL6	5	131352998	131375769
ACSM1	16	20542059	20616567
ACSM2A	16	20394465	20406492
ACSM3	16	20682812	20715980
ACSM4	12	7348194	7372236
ACSM5	16	20328356	20359782
ACSS1	20	24934873	24951728
ACSS2	20	32928035	32979423
ACSS3	12	80069560	80173713
ACTA1	1	227633615	227636466
ACTA2	10	90684810	90741084
ACTB	7	5533304	5536758
ACTBL2	5	56811599	56814393
ACTC1	15	32867588	32875219
ACTG1	17	77091593	77094422
ACTG2	2	73973600	74000288
ACTL6A	3	180763401	180788887
ACTL6B	7	100078663	100091986
ACTL7A	9	110664423	110665856
ACTL7B	9	110656691	110658031
ACTL8	1	17954430	18026145
ACTN1	14	68420637	68514724
ACTN2	1	234969214	234994181
ACTN3	11	66070966	66087373
ACTN4	19	43908195	43913010
ACTR10	14	57750101	57772106
ACTR1A	10	104228975	104252452
ACTR1B	2	97638862	97646816
ACTR2	2	65308405	65351891
ACTR3	2	114364006	114432637
ACTR3B	7	152087783	152183396
ACTR5	20	36810510	36834503
ACTR6	12	99118724	99142332
ACTR8	3	53876194	53891227
ACTRT1	X	127012621	127014058
ACTRT2	1	2927905	2929327
ACVR1	2	158301204	158440620
ACVR1B	12	50631752	50677127
ACVR1C	2	158091524	158193645
ACVR2A	2	148319039	148404863
ACVR2B	3	38470793	38509637
ACVRL1	12	50592379	50603412
ACY1	3	51992602	51998258
ACY3	11	67166601	67174706
ACYP1	14	74589680	74600489
ACYP2	2	54195913	54385939
ADA	20	42681576	42713790
ADAD1	4	123520120	123570389
ADAD2	16	82782244	82788273
ADAL	15	41419754	41433386
ADAM10	15	56734733	56829469
ADAM11	17	40210365	40214740
ADAM12	10	127719903	128067055
ADAM15	1	153297338	153301876
ADAM17	2	9585081	9613368
ADAM18	8	39561298	39706644
ADAM19	5	156841019	156935346
ADAM2	8	39720411	39814936
ADAM20	14	70059046	70061377
ADAM22	7	87402006	87649275
ADAM23	2	207016612	207190924
ADAM28	8	24240011	24268671
ADAM29	4	176133251	176135714
ADAM30	1	120237678	120240636
ADAM32	8	39197610	39261593
ADAM33	20	3605091	3610738
ADAM7	8	24389306	24440371
ADAM8	10	134935686	134940362
